url	Categories	Products	Industries	Internals
https://blog.adobe.com/es/publish/2020/05/30/crea-un-efecto-aura-en-photoshop.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/28/evolucionando-nuestra-identidad-de-marca.html	""	"Creative Cloud, Document Cloud"	""	"Creative Cloud, Document Cloud"
https://blog.adobe.com/es/publish/2020/05/26/como-mejorar-la-productividad-empresarial-con-document-cloud-y-microsoft.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/05/25/modos-de-fusion-en-adobe-photoshop.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/22/coloring-book-deja-volar-tu-creatividad-mientras-pintas-asi-sea-por-fuera-de-la-linea.html	"Creatividad"	""	""	""
https://blog.adobe.com/es/publish/2020/05/20/transformacion-digital-de-las-instituciones-educativas.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/05/19/maximiza-tu-creatividad-donde-sea-que-estes-trabajando.html	""	"Premiere Pro, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/16/3-tecnicas-para-mejorar-tu-video-storytelling.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/15/10-pro-tips-para-armar-tu-portafolio-en-behance.html	"Diseño, Ilustración"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/14/se-puede-vivir-de-las-ideas-asi-lo-demuestra-felix-hernandez-y-su-marca-personal-en-behance.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/12/trabajo-colaborativo-asegura-la-eficiencia-de-tu-equipo.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/05/11/stickers-para-whatsapp-desde-adobe-illustrator.html	"Diseño, Ilustración"	"Illustrator, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/05/08/adobe-scan-tu-empresa-del-mundo-fisico-al-digital.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/05/06/trabajo-remoto-como-mantener-tu-negocio-andando-sobre-ruedas.html	""	""	""	""
